Název;Kód;Kategorie
Horní Vítkov;Horní Vítkov;katastr
Zavidov;Zavidov;katastr
Vesec u Liberce;Vesec u Liberce;katastr
Malá Turná;Malá Turná;katastr
Sloučín;Sloučín;katastr
Koclov;Koclov;katastr
Slaník;Slaník;katastr
Marčovice;Marčovice;katastr
Makarov;Makarov;katastr
Černětice;Černětice;katastr
Benešov nad Ploučnicí;Benešov nad Ploučnicí;katastr
Předmíř;Předmíř;katastr
Dřevčice;Dřevčice;katastr
Domašice;Domašice;katastr
Lada;Lada;katastr
Dolní Libchava;Dolní Libchava;katastr
Popovice nad Rokytnou;Popovice nad Rokytnou;katastr
Jaroměřice nad Rokytnou;Jaroměřice nad Rokytnou;katastr
Krokočín;Krokočín;katastr
Horní Újezd u Třebíče;Horní Újezd u Třebíče;katastr
Horní Heřmanice;Horní Heřmanice;katastr
Heraltice;Heraltice;katastr
Chlístov u Rokytnice nad Rokytnou;Chlístov u Rokytnice nad Rokytnou;katastr
Hartvíkovice;Hartvíkovice;katastr
Dolní Vilémovice;Dolní Vilémovice;katastr
Dalešice;Dalešice;katastr
Číměř nad Jihlavou;Číměř nad Jihlavou;katastr
Čikov;Čikov;katastr
Brtnický Číchov;Brtnický Číchov;katastr
Čečelice;Čečelice;katastr
Jenišovice u Mělníka;Jenišovice u Mělníka;katastr
Daminěves;Daminěves;katastr
Truskavna;Truskavna;katastr
Hraběšín;Hraběšín;katastr
Horka nad Sázavou;Horka nad Sázavou;katastr
Lipina u Zruče nad Sázavou;Lipina u Zruče nad Sázavou;katastr
Semtěš u Bílého Podolí;Semtěš u Bílého Podolí;katastr
Předbořice;Předbořice;katastr
Třebešice;Třebešice;katastr
Církvice u Kutné Hory;Církvice u Kutné Hory;katastr
Štipoklasy u Černín;Štipoklasy u Černín;katastr
Prostřední Ves;Prostřední Ves;katastr
Zábrdovice u Křince;Zábrdovice u Křince;katastr
Pojedy;Pojedy;katastr
Hrubý Jeseník;Hrubý Jeseník;katastr
Krchleby u Nymburka;Krchleby u Nymburka;katastr
Kounice;Kounice;katastr
Sovolusky u Košíku;Sovolusky u Košíku;katastr
Vlkov pod Oškobrhem;Vlkov pod Oškobrhem;katastr
Záhornice u Městce Králové;Záhornice u Městce Králové;katastr
Kouty u Poděbrad;Kouty u Poděbrad;katastr
Vrbice u Poděbrad;Vrbice u Poděbrad;katastr
Vrbová Lhota;Vrbová Lhota;katastr
Střihov;Střihov;katastr
Kamilov;Kamilov;katastr
Křtěnovice;Křtěnovice;katastr
Turovec;Turovec;katastr
Stěžery;Stěžery;katastr
Hartvíkov;Hartvíkov;katastr
Jirkov;Jirkov;katastr
Chomutov I;Chomutov I;katastr
Hora Svatého Šebestiána;Hora Svatého Šebestiána;katastr
Podmilesy;Podmilesy;katastr
Petlery;Petlery;katastr
Holetice;Holetice;katastr
Denětice;Denětice;katastr
Pyšná;Pyšná;katastr
Orasín;Orasín;katastr
Krašovice;Krašovice;katastr
Běřín;Běřín;katastr
Řeplice;Řeplice;katastr
Kotoučov;Kotoučov;katastr
Dvorecko;Dvorecko;katastr
Zaříčany;Zaříčany;katastr
Bílé Podolí;Bílé Podolí;katastr
Vernýřov;Vernýřov;katastr
Kralice;Kralice;katastr
Kácov;Kácov;katastr
Chabeřice;Chabeřice;katastr
Chřenovice;Chřenovice;katastr
Utín;Utín;katastr
Radčice;Radčice;katastr
Rejdice;Rejdice;katastr
Střevelná;Střevelná;katastr
Úhošťany;Úhošťany;katastr
Přísečnice;Přísečnice;katastr
Loučná pod Klínovcem;Loučná pod Klínovcem;katastr
Jindřišská;Jindřišská;katastr
Bílence;Bílence;katastr
Pavlov u Vernéřova;Pavlov u Vernéřova;katastr
Skalka u Kyjova;Skalka u Kyjova;katastr
Koryta;Koryta;katastr
Dynín;Dynín;katastr
Dobšice u Týna nad Vltavou;Dobšice u Týna nad Vltavou;katastr
Dobrá Voda u Českých Budějovic;Dobrá Voda u Českých Budějovic;katastr
Zahorčičky;Zahorčičky;katastr
Soběsuky u Nepomuka;Soběsuky u Nepomuka;katastr
Radošice;Radošice;katastr
Prádlo;Prádlo;katastr
Podhůří u Nepomuka;Podhůří u Nepomuka;katastr
Partoltice;Partoltice;katastr
Nová Ves u Nepomuka;Nová Ves u Nepomuka;katastr
Nepomuk;Nepomuk;katastr
Mohelnice u Nepomuka;Mohelnice u Nepomuka;katastr
Čmelíny;Čmelíny;katastr
Březín;Březín;katastr
Mrtník;Mrtník;katastr
Mladotice;Mladotice;katastr
Černá Hať;Černá Hať;katastr
Luková u Manětína;Luková u Manětína;katastr
Vladměřice;Vladměřice;katastr
Lipí u Manětína;Lipí u Manětína;katastr
Lednice;Lednice;katastr
Hromnice;Hromnice;katastr
Lovětín u Třešti;Lovětín u Třešti;katastr
Rytířsko;Rytířsko;katastr
Hrbov;Hrbov;katastr
Malešovice;Malešovice;katastr
Kostelec na Hané;Kostelec na Hané;katastr
Konice;Konice;katastr
Kladky;Kladky;katastr
Babolky;Babolky;katastr
Klužínek;Klužínek;katastr
Hrubčice;Hrubčice;katastr
Hradčany u Prostějova;Hradčany u Prostějova;katastr
Staré Purkartice;Staré Purkartice;katastr
Němčice nad Hanou;Němčice nad Hanou;katastr
Kralice na Hané;Kralice na Hané;katastr
Hošťálkovy;Hošťálkovy;katastr
Spálené;Spálené;katastr
Křížová ve Slezsku;Křížová ve Slezsku;katastr
Horní Povelice;Horní Povelice;katastr
Jelení u Holčovic;Jelení u Holčovic;katastr
Holčovice;Holčovice;katastr
Dlouhá Ves;Dlouhá Ves;katastr
Heřmanovice;Heřmanovice;katastr
Dolní Povelice;Dolní Povelice;katastr
Dívčí Hrad;Dívčí Hrad;katastr
Radim u Brantic;Radim u Brantic;katastr
Brantice;Brantice;katastr
Karlov u Bohušova;Karlov u Bohušova;katastr
Dlouhá Voda;Dlouhá Voda;katastr
Hrozová;Hrozová;katastr
Běhařovice;Běhařovice;katastr
Velešovice;Velešovice;katastr
Holubice;Holubice;katastr
Královopolské Vážany;Královopolské Vážany;katastr
Vážany u Vyškova;Vážany u Vyškova;katastr
Jirkov u Železného Brodu;Jirkov u Železného Brodu;katastr
Švábenice;Švábenice;katastr
Studnice u Vyškova;Studnice u Vyškova;katastr
Blanné;Blanné;katastr
Úhořilka;Úhořilka;katastr
Zbožice;Zbožice;katastr
Knyk;Knyk;katastr
Homole u Nechalova;Homole u Nechalova;katastr
Radeč u Nedrahovic;Radeč u Nedrahovic;katastr
Nová Ves pod Pleší;Nová Ves pod Pleší;katastr
Nesvačily pod Třemšínem;Nesvačily pod Třemšínem;katastr
Kamenice u Nedrahovic;Kamenice u Nedrahovic;katastr
Žebrák u Nečína;Žebrák u Nečína;katastr
Lipiny;Lipiny;katastr
Nalžovické Podhájí;Nalžovické Podhájí;katastr
Okrouhlá u Chebu;Okrouhlá u Chebu;katastr
Nedrahovické Podhájí;Nedrahovické Podhájí;katastr
Pňovice pod Třemšínem;Pňovice pod Třemšínem;katastr
Vilasova Lhota;Vilasova Lhota;katastr
Petrovice u Sedlčan;Petrovice u Sedlčan;katastr
Skrbovice;Skrbovice;katastr
Javorek;Javorek;katastr
Hodíškov;Hodíškov;katastr
Hlinné;Hlinné;katastr
Kocanda;Kocanda;katastr
Poděšín;Poděšín;katastr
Vysoké;Vysoké;katastr
Počítky;Počítky;katastr
Pavlov;Pavlov;katastr
Ostrov nad Oslavou;Ostrov nad Oslavou;katastr
Nové Město na Moravě;Nové Město na Moravě;katastr
Špinov;Špinov;katastr
Nížkov;Nížkov;katastr
Miškovice u Kouřimi;Miškovice u Kouřimi;katastr
Toušice;Toušice;katastr
Tatce;Tatce;katastr
Poboří;Poboří;katastr
Borečnice;Borečnice;katastr
Čimelice;Čimelice;katastr
Cerhonice;Cerhonice;katastr
Ohař;Ohař;katastr
Zběšice;Zběšice;katastr
Bilinka;Bilinka;katastr
Údraž;Údraž;katastr
Řečice u Humpolce;Řečice u Humpolce;katastr
Pravíkov;Pravíkov;katastr
Tytry;Tytry;katastr
Třeboc;Třeboc;katastr
Bácovice;Bácovice;katastr
Šípy;Šípy;katastr
Sýkořice;Sýkořice;katastr
Svojetín;Svojetín;katastr
Srbeč;Srbeč;katastr
Slabce;Slabce;katastr
Skupá;Skupá;katastr
Senomaty;Senomaty;katastr
Struhadlo;Struhadlo;katastr
Krakov;Krakov;katastr
Divišovice;Divišovice;katastr
Komárovice;Komárovice;katastr
Kelč-Nové Město;Kelč-Nové Město;katastr
Jasenice u Valašského Meziříčí;Jasenice u Valašského Meziříčí;katastr
Solanec pod Soláněm;Solanec pod Soláněm;katastr
Hutisko;Hutisko;katastr
Horní Bečva;Horní Bečva;katastr
Vysoká u Valašského Meziříčí;Vysoká u Valašského Meziříčí;katastr
Vigantice;Vigantice;katastr
Nebočady;Nebočady;katastr
Labská Stráň;Labská Stráň;katastr
Vojtanov;Vojtanov;katastr
Výspa;Výspa;katastr
Vysoká u Staré Vody;Vysoká u Staré Vody;katastr
Čepřovice;Čepřovice;katastr
Sudoměř u Čejetic;Sudoměř u Čejetic;katastr
Čečelovice;Čečelovice;katastr
Buzice;Buzice;katastr
Březí u Blatné;Březí u Blatné;katastr
Jindřichovice u Blatenky;Jindřichovice u Blatenky;katastr
Blatenka;Blatenka;katastr
Měkynec;Měkynec;katastr
Bezdědovice;Bezdědovice;katastr
Bělčice;Bělčice;katastr
Albrechtice;Albrechtice;katastr
Damnov;Damnov;katastr
Buková u Nových Hradů;Buková u Nových Hradů;katastr
Kozašice;Kozašice;katastr
Chýšť;Chýšť;katastr
Chvaletice;Chvaletice;katastr
Máslojedy;Máslojedy;katastr
Lužec nad Cidlinou;Lužec nad Cidlinou;katastr
Luková nad Cidlinou;Luková nad Cidlinou;katastr
Lodín;Lodín;katastr
Lišice;Lišice;katastr
Libřice;Libřice;katastr
Libníkovice;Libníkovice;katastr
Želí;Želí;katastr
Libčany;Libčany;katastr
Klášter nad Dědinou;Klášter nad Dědinou;katastr
Sudkov;Sudkov;katastr
Studená Loučka;Studená Loučka;katastr
Stajiště;Stajiště;katastr
Strupšín;Strupšín;katastr
Rokytnice u Přerova;Rokytnice u Přerova;katastr
Lověšice u Přerova;Lověšice u Přerova;katastr
Přerov;Přerov;katastr
Sobíšky;Sobíšky;katastr
Veltruby;Veltruby;katastr
Radslavice u Přerova;Radslavice u Přerova;katastr
Velké Chvalovice;Velké Chvalovice;katastr
Vítězov;Vítězov;katastr
Kojetice na Moravě;Kojetice na Moravě;katastr
Klučov;Klučov;katastr
Hrotovice;Hrotovice;katastr
Tvorovice;Tvorovice;katastr
Chlum nad Jihlavou;Chlum nad Jihlavou;katastr
Boňov;Boňov;katastr
Batouchovice;Batouchovice;katastr
Budíkovice;Budíkovice;katastr
Březník;Březník;katastr
Partutovice;Partutovice;katastr
Pulkov;Pulkov;katastr
Paršovice;Paršovice;katastr
Boňkov u Hranic;Boňkov u Hranic;katastr
Bohuslavice nad Moravou;Bohuslavice nad Moravou;katastr
Radomilov;Radomilov;katastr
Úblo;Úblo;katastr
Brumovice u Opavy;Brumovice u Opavy;katastr
Dolní Bohdíkov;Dolní Bohdíkov;katastr
Branka u Opavy;Branka u Opavy;katastr
Bohuslavice u Hlučína;Bohuslavice u Hlučína;katastr
Bohdanovice;Bohdanovice;katastr
Nové Oldřůvky;Nové Oldřůvky;katastr
Vlaštovičky;Vlaštovičky;katastr
Klokočov u Vítkova;Klokočov u Vítkova;katastr
Větřkovice u Vítkova;Větřkovice u Vítkova;katastr
Zakřany;Zakřany;katastr
Troubsko;Troubsko;katastr
Tišnovská Nová Ves;Tišnovská Nová Ves;katastr
Předklášteří;Předklášteří;katastr
Tetčice;Tetčice;katastr
Štěpánovice u Tišnova;Štěpánovice u Tišnova;katastr
Syrovice;Syrovice;katastr
Svatoslav u Tišnova;Svatoslav u Tišnova;katastr
Silůvky;Silůvky;katastr
Sentice;Sentice;katastr
Rozdrojovice;Rozdrojovice;katastr
Rosice u Brna;Rosice u Brna;katastr
Stanoviště na Moravě;Stanoviště na Moravě;katastr
Úhřetice;Úhřetice;katastr
Tuněchody;Tuněchody;katastr
Želkovice;Želkovice;katastr
Vysoký Újezd nad Dědinou;Vysoký Újezd nad Dědinou;katastr
Vysoká nad Labem;Vysoká nad Labem;katastr
Výrava;Výrava;katastr
Přestavlky;Přestavlky;katastr
Smidarská Lhota;Smidarská Lhota;katastr
Janovice u Vinar;Janovice u Vinar;katastr
Újezd u Hradce Králové;Újezd u Hradce Králové;katastr
Třebechovice pod Orebem;Třebechovice pod Orebem;katastr
Rosnice u Všestar;Rosnice u Všestar;katastr
Polánky nad Dědinou;Polánky nad Dědinou;katastr
Hrušovany u Chomutova;Hrušovany u Chomutova;katastr
Jilmová;Jilmová;katastr
Roztyly;Roztyly;katastr
Nová Ves u Křimova;Nová Ves u Křimova;katastr
Louchov;Louchov;katastr
České Hamry u Vejprt;České Hamry u Vejprt;katastr
Stranná u Nechranic;Stranná u Nechranic;katastr
Březno u Chomutova;Březno u Chomutova;katastr
Svahová;Svahová;katastr
Černovice u Chomutova;Černovice u Chomutova;katastr
Boleboř;Boleboř;katastr
Zákoutí;Zákoutí;katastr
Mezihoří u Chomutova;Mezihoří u Chomutova;katastr
Komárno;Komárno;katastr
Jankovice u Holešova;Jankovice u Holešova;katastr
Chomýž;Chomýž;katastr
Všetuly;Všetuly;katastr
Hlinsko pod Hostýnem;Hlinsko pod Hostýnem;katastr
Dobrotice;Dobrotice;katastr
Hrdá Ves;Hrdá Ves;katastr
Urbanov;Urbanov;katastr
Telč;Telč;katastr
Ludslavice;Ludslavice;katastr
Zvolenovice;Zvolenovice;katastr
Vápovice;Vápovice;katastr
Strachoňovice;Strachoňovice;katastr
Malý Uhřínov;Malý Uhřínov;katastr
Kunčina Ves u Zdobnice;Kunčina Ves u Zdobnice;katastr
Záměl;Záměl;katastr
Vyhnanice u Voděrad;Vyhnanice u Voděrad;katastr
Záhornice;Záhornice;katastr
Zádolí u Trnova;Zádolí u Trnova;katastr
Malhostice;Malhostice;katastr
Přítkov;Přítkov;katastr
Mackov;Mackov;katastr
Nová Ves u Oseka;Nová Ves u Oseka;katastr
Žichov;Žichov;katastr
Měrunice;Měrunice;katastr
Lysec;Lysec;katastr
Ratenice;Ratenice;katastr
Ratboř;Ratboř;katastr
Radovesnice II;Radovesnice II;katastr
Lipec;Lipec;katastr
Radovesnice I;Radovesnice I;katastr
Přišimasy;Přišimasy;katastr
Pašinka;Pašinka;katastr
Chotouň;Chotouň;katastr
Hradišťko I;Hradišťko I;katastr
Nespice;Nespice;katastr
Jaroškov;Jaroškov;katastr
Sviny;Sviny;katastr
Jestřabí Lhota;Jestřabí Lhota;katastr
Plačovice;Plačovice;katastr
Báňovice;Báňovice;katastr
Stoječín;Stoječín;katastr
Český Rudolec;Český Rudolec;katastr
Mutná;Mutná;katastr
Jítrava;Jítrava;katastr
Světlá pod Ještědem;Světlá pod Ještědem;katastr
Býkovice u Louňovic;Býkovice u Louňovic;katastr
Jersice;Jersice;katastr
Stráž nad Nisou;Stráž nad Nisou;katastr
Polesí u Rynoltic;Polesí u Rynoltic;katastr
Příšovice;Příšovice;katastr
Přibyslavice;Přibyslavice;katastr
Dolní Slivno;Dolní Slivno;katastr
Dolánky;Dolánky;katastr
Dobrovice;Dobrovice;katastr
Dneboh;Dneboh;katastr
Březovice pod Bezdězem;Březovice pod Bezdězem;katastr
Bezno;Bezno;katastr
Bezmíř;Bezmíř;katastr
Hrzín;Hrzín;katastr
Václavice u Benešova;Václavice u Benešova;katastr
Třebešice u Divišova;Třebešice u Divišova;katastr
Tomice u Votic;Tomice u Votic;katastr
Zelené;Zelené;katastr
Lužany u Přeštic;Lužany u Přeštic;katastr
Střítež nad Ludinou;Střítež nad Ludinou;katastr
Středolesí;Středolesí;katastr
Skalička u Hranic;Skalička u Hranic;katastr
Rakov u Hranic;Rakov u Hranic;katastr
Všechovice;Všechovice;katastr
Velká u Hranic;Velká u Hranic;katastr
Horní Těšice;Horní Těšice;katastr
Teplice nad Bečvou;Teplice nad Bečvou;katastr
Padesát Lánů;Padesát Lánů;katastr
Ústí;Ústí;katastr
Mistrovice nad Orlicí;Mistrovice nad Orlicí;katastr
Poruba nad Bečvou;Poruba nad Bečvou;katastr
Polom u Hranic;Polom u Hranic;katastr
Malé Hydčice;Malé Hydčice;katastr
Nuzice;Nuzice;katastr
Veveří u Nových Hradů;Veveří u Nových Hradů;katastr
Nové Hrady;Nové Hrady;katastr
Mýtiny;Mýtiny;katastr
Netěchovice;Netěchovice;katastr
Březí u Trhových Svinů;Březí u Trhových Svinů;katastr
Nová Ves u Českých Budějovic;Nová Ves u Českých Budějovic;katastr
Heřmaň u Českých Budějovic;Heřmaň u Českých Budějovic;katastr
Borovnice u Českých Budějovic;Borovnice u Českých Budějovic;katastr
Nesměň u Ločenic;Nesměň u Ločenic;katastr
Tuchonice;Tuchonice;katastr
Radešov u Rejštejna;Radešov u Rejštejna;katastr
Závišín u Bělčic;Závišín u Bělčic;katastr
Petříkovice;Petříkovice;katastr
Záluží u Vodňan;Záluží u Vodňan;katastr
Záhrobí;Záhrobí;katastr
Záboří u Blatné;Záboří u Blatné;katastr
Volenice;Volenice;katastr
Vodňany;Vodňany;katastr
Modlíkov;Modlíkov;katastr
Bratronice;Bratronice;katastr
Volyně;Volyně;katastr
Lhota pod Kůstrým;Lhota pod Kůstrým;katastr
Střeziměřice;Střeziměřice;katastr
Miskolezy;Miskolezy;katastr
Hlavňov;Hlavňov;katastr
Rokytník;Rokytník;katastr
Velký Dřevíč;Velký Dřevíč;katastr
Hronov;Hronov;katastr
Litoboř;Litoboř;katastr
Slotov;Slotov;katastr
Heřmanice nad Labem;Heřmanice nad Labem;katastr
Dolní Radechová;Dolní Radechová;katastr
Dolany u Jaroměře;Dolany u Jaroměře;katastr
Zlíč;Zlíč;katastr
Říkov;Říkov;katastr
Svinná u Štítar;Svinná u Štítar;katastr
Svatá Kateřina u Chudenína;Svatá Kateřina u Chudenína;katastr
Kanice u Domažlic;Kanice u Domažlic;katastr
Chotěnov u Mariánských Lázní;Chotěnov u Mariánských Lázní;katastr
Bratčice;Bratčice;katastr
Boněnov;Boněnov;katastr
Hradiště u Domažlic;Hradiště u Domažlic;katastr
Bojanovice pod Rabím;Bojanovice pod Rabím;katastr
Rybáře u Libé;Rybáře u Libé;katastr
Hřensko;Hřensko;katastr
Dobroměřice;Dobroměřice;katastr
Běstovice;Běstovice;katastr
Vratislávka;Vratislávka;katastr
Vranov u Brna;Vranov u Brna;katastr
Čavisov;Čavisov;katastr
Zbyslavice;Zbyslavice;katastr
Velká Polom;Velká Polom;katastr
Stará Bělá;Stará Bělá;katastr
Polanka nad Odrou;Polanka nad Odrou;katastr
Vratimov;Vratimov;katastr
Nová Plesná;Nová Plesná;katastr
Třebovice ve Slezsku;Třebovice ve Slezsku;katastr
Hrušov;Hrušov;katastr
Raduň;Raduň;katastr
Rakvice;Rakvice;katastr
Daskabát;Daskabát;katastr
Drahanovice;Drahanovice;katastr
Dalov;Dalov;katastr
Horní Loděnice;Horní Loděnice;katastr
Doloplazy u Olomouce;Doloplazy u Olomouce;katastr
Hnojice;Hnojice;katastr
Hlušovice;Hlušovice;katastr
Hlubočky;Hlubočky;katastr
Grygov;Grygov;katastr
Droždín;Droždín;katastr
Ludéřov;Ludéřov;katastr
Moravská Loděnice;Moravská Loděnice;katastr
Sedlatice;Sedlatice;katastr
Olešnice na Moravě;Olešnice na Moravě;katastr
Nýrov;Nýrov;katastr
Prstná;Prstná;katastr
Novičí;Novičí;katastr
Horní Hoštice;Horní Hoštice;katastr
Vsetín;Vsetín;katastr
Miňůvky;Miňůvky;katastr
Liptál;Liptál;katastr
Dřínov u Kroměříže;Dřínov u Kroměříže;katastr
Počenice;Počenice;katastr
Seninka;Seninka;katastr
Lidečko;Lidečko;katastr
Pulčín;Pulčín;katastr
Újezd u Přelouče;Újezd u Přelouče;katastr
Újezd u Sezemic;Újezd u Sezemic;katastr
Turov nad Loučnou;Turov nad Loučnou;katastr
Turkovice u Přelouče;Turkovice u Přelouče;katastr
Říčany u Brna;Říčany u Brna;katastr
Knínice u Libouchce;Knínice u Libouchce;katastr
Zubrnice;Zubrnice;katastr
Zalužany u Vyklic;Zalužany u Vyklic;katastr
Velké Chvojno;Velké Chvojno;katastr
Malé Chvojno;Malé Chvojno;katastr
Vítov u Velkého Března;Vítov u Velkého Března;katastr
Čeřeniště;Čeřeniště;katastr
Svádov;Svádov;katastr
Sokolnice;Sokolnice;katastr
Rohozec u Tišnova;Rohozec u Tišnova;katastr
Otmarov;Otmarov;katastr
Radostice u Brna;Radostice u Brna;katastr
Přibyslavice u Velké Bíteše;Přibyslavice u Velké Bíteše;katastr
Příbram na Moravě;Příbram na Moravě;katastr
Popůvky u Brna;Popůvky u Brna;katastr
Němčičky u Hustopečí;Němčičky u Hustopečí;katastr
Sobotovice;Sobotovice;katastr
Pejškov u Tišnova;Pejškov u Tišnova;katastr
Osiky;Osiky;katastr
Opatovice u Rajhradu;Opatovice u Rajhradu;katastr
Ochoz u Tišnova;Ochoz u Tišnova;katastr
Nová Ves u Heřmanova;Nová Ves u Heřmanova;katastr
Netín;Netín;katastr
Klášterská Lhota;Klášterská Lhota;katastr
Horní Vernéřovice;Horní Vernéřovice;katastr
Dolní Vernéřovice;Dolní Vernéřovice;katastr
Černá Hora v Krkonoších;Černá Hora v Krkonoších;katastr
Kochánov u Stránecké Zhoře;Kochánov u Stránecké Zhoře;katastr
Janovice u Trutnova;Janovice u Trutnova;katastr
Petříkovice u Trutnova;Petříkovice u Trutnova;katastr
